node	node_name	node_type
23635	SSBP2	Gene
2359	FPR3	Gene
9424	KCNK6	Gene
C1384666	Hearing impaired	SideEffect
C0003123	Anorexia	SideEffect
344807	CD200R1L	Gene
CHEMBL2108693	CHEMBL2108693	Compound
DB00661	Verapamil	Compound
DOID:0110667	congenital myasthenic syndrome 5	Disease
D004968	Estrogens, Non-Steroidal	PharmacologicClass
3122	HLA-DRA	Gene
DOID:10242	ehrlichiosis	Disease
60488	MRPS35	Gene
DOID:4790	medulloepithelioma	Disease
24146	CLDN15	Gene
DOID:2908	Treacher Collins syndrome	Disease
D012102	Reproductive Control Agents	PharmacologicClass
5813	PURA	Gene
DOID:0060039	autoimmune disease of skin and connective tissue	Disease
DB00296	Ropivacaine	Compound
23513	SCRIB	Gene
DOID:2438	dermis tumor	Disease
GO:0016482	cytosolic transport	BiologicalProcess
24138	IFIT5	Gene
DB00259	Sulfanilamide	Compound
170850	KCNG3	Gene
DOID:13794	anterior scleritis	Disease
115708	TRMT61A	Gene
UBERON:0000382	apocrine sweat gland	Anatomy
C0270611	Brain injury	SideEffect
DB01246	Alimemazine	Compound
CHEMBL2107376	CHEMBL2107376	Compound
81623	DEFB126	Gene
DOID:9868	intestinal disaccharidase deficiency	Disease
64375	IKZF4	Gene
DB00960	Pindolol	Compound
O00555	CAC1A_HUMAN	Protein
55793	MINDY1	Gene
4868	NPHS1	Gene
56672	AKIP1	Gene
CHEMBL355200	CHEMBL355200	Compound
9169	SCAF11	Gene
DOID:0080267	autosomal dominant nonsyndromic deafness 71	Disease
1852	DUSP9	Gene
DOID:1992	rectum malignant melanoma	Disease
125058	TBC1D16	Gene
P07202	PERT_HUMAN	Protein
GO:0031267	small GTPase binding	MolecularFunction
4887	NPY2R	Gene
646174	C16orf90	Gene
9976	CLEC2B	Gene
492307	PPDPFL	Gene
CHEMBL1200512	CHEMBL1200512	Compound
5714	PSMD8	Gene
1654	DDX3X	Gene
DOID:5213	chronic inflammatory demyelinating polyradiculoneuropathy	Disease
79943	ZNF696	Gene
DOID:332	amyotrophic lateral sclerosis	Disease
DOID:820	myocarditis	Disease
DOID:4336	tinea favosa	Disease
DOID:10326	Caplan's syndrome	Disease
2692	GHRHR	Gene
DOID:11771	spontaneous ocular nystagmus	Disease
C0270769	Radiation myelopathy	SideEffect
N0000191266	Cytochrome P450 1A2 Inducers	PharmacologicClass
DOID:4413	cervix melanoma	Disease
23233	EXOC6B	Gene
C0152517	Viral diarrhoea	SideEffect
55320	MIS18BP1	Gene
C0857468	Withdrawal hypertension	SideEffect
P17861	XBP1_HUMAN	Protein
54587	MXRA8	Gene
C0003873	Rheumatoid arthritis	SideEffect
C2363731	Oropharyngeal pain	SideEffect
GO:0000398	mRNA splicing, via spliceosome	BiologicalProcess
DOID:0110437	dilated cardiomyopathy 1K	Disease
1946	EFNA5	Gene
DOID:1273	respiratory syncytial virus infectious disease	Disease
CHEMBL3317856	CHEMBL3317856	Compound
9403	SELENOF	Gene
8498	RANBP3	Gene
GO:0046661	male sex differentiation	BiologicalProcess
DB09143	Sonidegib	Compound
DOID:0060036	intrinsic cardiomyopathy	Disease
79820	CATSPERB	Gene
283807	FBXL22	Gene
N0000175842	alpha-Hydroxy Acid	PharmacologicClass
283377	SPRYD4	Gene
7789	ZXDA	Gene
DB00596	Ulobetasol	Compound
CHEMBL422648	CHEMBL422648	Compound
CHEMBL3545151	CHEMBL3545151	Compound
C0002453	Amenorrhoea	SideEffect
23315	SLC9A8	Gene
57480	PLEKHG1	Gene
126017	ZNF813	Gene
CHEMBL3545233	CHEMBL3545233	Compound
5226	PGD	Gene
8218	CLTCL1	Gene
9026	HIP1R	Gene
DB08823	Spinosad	Compound
CHEMBL525076	CHEMBL525076	Compound
221806	VWDE	Gene
8738	CRADD	Gene
56990	CDC42SE2	Gene
10718	NRG3	Gene
CHEMBL1201468	CHEMBL1201468	Compound
4582	MUC1	Gene
DOID:0050097	ectothrix infectious disease	Disease
1642	DDB1	Gene
C0242429	Throat sore	SideEffect
114049	BUD23	Gene
DOID:12386	balantidiasis	Disease
C0234518	Slurred speech	SideEffect
DOID:0080274	multiple mitochondrial dysfunctions syndrome 5	Disease
253175	CDY1B	Gene
390083	OR56A3	Gene
DOID:0050465	Muir-Torre syndrome	Disease
C0011854	Type 1 diabetes mellitus	SideEffect
4097	MAFG	Gene
DOID:1412	bacteriuria	Disease
242	ALOX12B	Gene
219541	MED19	Gene
CHEMBL1707	CHEMBL1707	Compound
10875	FGL2	Gene
49	ACR	Gene
84985	FAM83A	Gene
DOID:0050827	rheumatic heart disease	Disease
C0013418	Abnormal labour	SideEffect
Q9GZQ4	NMUR2_HUMAN	Protein
84467	FBN3	Gene
DOID:0060303	complement component 9 deficiency	Disease
DOID:0060781	congenital secretory sodium diarrhea 3	Disease
DOID:11164	band keratopathy	Disease
79674	VEPH1	Gene
9221	NOLC1	Gene
CHEMBL34833	CHEMBL34833	Compound
338599	DUPD1	Gene
11079	RER1	Gene
150365	MEI1	Gene
Q9P0X4	CAC1I_HUMAN	Protein
56929	FEM1C	Gene
146540	ZNF785	Gene
CHEMBL2108704	CHEMBL2108704	Compound
CHEMBL3099695	CHEMBL3099695	Compound
1401	CRP	Gene
DOID:11364	lens subluxation	Disease
GO:0019882	antigen processing and presentation	BiologicalProcess
DOID:12556	acute kidney tubular necrosis	Disease
C0153676	Lung cancer metastatic	SideEffect
C0042133	Uterine leiomyoma	SideEffect
54148	MRPL39	Gene
PC7_7463	Signaling by NGF	Pathway
8875	VNN2	Gene
54664	TMEM106B	Gene
114788	CSMD3	Gene
401387	LRRD1	Gene
CHEMBL3137323	CHEMBL3137323	Compound
114991	ZNF618	Gene
3757	KCNH2	Gene
P78536	ADA17_HUMAN	Protein
C0220981	Metabolic acidosis	SideEffect
6888	TALDO1	Gene
DOID:0110794	hereditary spastic paraplegia 42	Disease
2256	FGF11	Gene
Q07973	CP24A_HUMAN	Protein
23242	COBL	Gene
26254	OPTC	Gene
22824	HSPA4L	Gene
CHEMBL3545224	CHEMBL3545224	Compound
CHEMBL2392545	CHEMBL2392545	Compound
163033	ZNF579	Gene
113179	ADAT3	Gene
CHEMBL3545320	CHEMBL3545320	Compound
CHEMBL3392031	CHEMBL3392031	Compound
79837	PIP4K2C	Gene
WP2817_r102410	Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	Pathway
79446	WDR25	Gene
C0013295	Duodenal ulcer	SideEffect
939	CD27	Gene
CHEMBL2109547	CHEMBL2109547	Compound
7733	ZNF180	Gene
Q14164	IKKE_HUMAN	Protein
92014	SLC25A51	Gene
DB09343	Tipiracil	Compound
401498	TMEM215	Gene
10482	NXF1	Gene
C0854467	Myelosuppression	SideEffect
5565	PRKAB2	Gene
651	BMP3	Gene
4071	TM4SF1	Gene
3680	ITGA9	Gene
54828	BCAS3	Gene
1731	SEPT1	Gene
DOID:12996	acute dacryocystitis	Disease
C0853149	Blood lactate dehydrogenase increased	SideEffect
55848	PLGRKT	Gene
DOID:8927	learning disability	Disease
10980	COPS6	Gene
DB04942	Tamibarotene	Compound
7275	TUB	Gene
9843	HEPH	Gene
CHEMBL2104985	CHEMBL2104985	Compound
4666	NACA	Gene
388698	FLG2	Gene
P22748	CAH4_HUMAN	Protein
54886	PLPPR1	Gene
PC7_3433	ERK activation	Pathway
79990	PLEKHH3	Gene
9889	ZBED4	Gene
55863	TMEM126B	Gene
CHEMBL2007641	CHEMBL2007641	Compound
CHEMBL1277001	CHEMBL1277001	Compound
641700	ECSCR	Gene
1024	CDK8	Gene
DOID:0060608	microcephalic osteodysplastic primordial dwarfism type I	Disease
DB00935	Oxymetazoline	Compound
DOID:2215	factor VII deficiency	Disease
CHEMBL1743068	CHEMBL1743068	Compound
11044	TENT4A	Gene
CHEMBL2109504	CHEMBL2109504	Compound
N0000182728	Potassium Channel Openers	PharmacologicClass
2949	GSTM5	Gene
64802	NMNAT1	Gene
54769	DIRAS2	Gene
54927	CHCHD3	Gene
CHEMBL2354773	CHEMBL2354773	Compound
DOID:0050761	paramyloidosis	Disease
PC7_1517	Activated TLR4 signalling	Pathway
DOID:8125	osteochondrosis	Disease
DOID:12191	splenic flexure cancer	Disease
D004421	Dystonia	Symptom
84619	ZGPAT	Gene
DOID:13386	gastrointestinal anthrax	Disease
C0494165	Metastases to liver	SideEffect
1244	ABCC2	Gene
92241	RCSD1	Gene
146712	B3GNTL1	Gene
23608	MKRN1	Gene
617	BCS1L	Gene
C0542571	Face oedema	SideEffect
DOID:5295	intestinal disease	Disease
DOID:14152	spinal cord sarcoma	Disease
C0235895	Implantation complication	SideEffect
340719	NANOS1	Gene
DOID:10835	chylocele of tunica vaginalis	Disease
282966	C10orf53	Gene
79817	MOB3B	Gene
200844	C3orf67	Gene
UBERON:0000348	ophthalmic nerve	Anatomy
DOID:5165	uterine corpus sarcoma	Disease
DOID:528	hydrarthrosis	Disease
C0038663	Suicide attempt	SideEffect
D011480	Protease Inhibitors	PharmacologicClass
CHEMBL3707309	CHEMBL3707309	Compound
DOID:8578	soft palate cancer	Disease
84891	ZSCAN10	Gene
N0000007715	Catecholamines	PharmacologicClass
GO:0030036	actin cytoskeleton organization	BiologicalProcess
DOID:0060154	verbal auditory agnosia	Disease
114335	CGB1	Gene
DOID:0070218	familial hyperinsulinemic hypoglycemia 2	Disease
4856	CCN3	Gene
3609	ILF3	Gene
4299	AFF1	Gene
CHEMBL1200745	CHEMBL1200745	Compound
CHEMBL3545189	CHEMBL3545189	Compound
84248	FYTTD1	Gene
80071	CCDC15	Gene
23149	FCHO1	Gene
DB13170	Plecanatide	Compound
CHEMBL1491875	CHEMBL1491875	Compound
4168	MCF2	Gene
DOID:3773	third ventricle chordoid glioma	Disease
DOID:11330	erysipelas	Disease
C0017412	Genital disorder male	SideEffect
D055111	Failed Back Surgery Syndrome	Symptom
51061	TXNDC11	Gene
7101	NR2E1	Gene
347734	SLC35B2	Gene
CHEMBL1571037	CHEMBL1571037	Compound
22955	SCMH1	Gene
221178	SPATA13	Gene
6249	CLIP1	Gene
142689	ASB12	Gene
23660	ZKSCAN5	Gene
DB01139	Cefapirin	Compound
131920	TMEM207	Gene
84504	NKX6-2	Gene
27319	BHLHE22	Gene
65108	MARCKSL1	Gene
DB03166	Acetic acid	Compound
5818	NECTIN1	Gene
3749	KCNC4	Gene
353288	KRT26	Gene
342977	NANOS3	Gene
DOID:0110060	amelogenesis imperfecta hypomaturation type 2A2	Disease
DOID:3883	Lynch syndrome	Disease
DB00910	Paricalcitol	Compound
DOID:13929	lacrimal duct obstruction	Disease
UBERON:0003917	arthropod fat body	Anatomy
284297	SSC5D	Gene
259217	HSPA12A	Gene
DOID:5050	Ehrlich tumor carcinoma	Disease
64798	DEPTOR	Gene
4994	OR3A1	Gene
UBERON:0001619	ophthalmic artery	Anatomy
CHEMBL310671	CHEMBL310671	Compound
10713	USP39	Gene
5368	PNOC	Gene
344561	GPR148	Gene
DOID:0050580	hereditary lymphedema	Disease
DOID:9088	parapsoriasis	Disease
DB09155	Helium	Compound
5603	MAPK13	Gene
64093	SMOC1	Gene
P02774	VTDB_HUMAN	Protein
DOID:0060889	prune belly syndrome	Disease
C0700345	Vulvovaginal candidiasis	SideEffect
728492	SERF1B	Gene
DB06717	Fosaprepitant	Compound
DB00642	Pemetrexed	Compound
26036	ZNF451	Gene
CHEMBL1645462	CHEMBL1645462	Compound
11223	MST1L	Gene
GO:1904892	regulation of receptor signaling pathway via STAT	BiologicalProcess
9849	ZNF518A	Gene
5193	PEX12	Gene
CHEMBL1808388	CHEMBL1808388	Compound
DOID:11748	round ligament malignant neoplasm	Disease
85289	KRTAP4-5	Gene
84125	LRRIQ1	Gene
283219	KCTD21	Gene
DB08795	Azidocillin	Compound
DB01025	Amlexanox	Compound
DOID:3247	rhabdomyosarcoma	Disease
5564	PRKAB1	Gene
CHEMBL1201160	CHEMBL1201160	Compound
Q9H422	HIPK3_HUMAN	Protein
DOID:857	multiple carboxylase deficiency	Disease
9397	NMT2	Gene
DOID:10997	immature cataract	Disease
100506627	DCDC5	Gene
26118	WSB1	Gene
DOID:8140	adrenal gland ganglioneuroblastoma	Disease
C0035229	Respiratory insufficiency	SideEffect
D003281	Contraceptives, Postcoital	PharmacologicClass
DOID:0060859	salmonellosis	Disease
CHEMBL1200562	CHEMBL1200562	Compound
DOID:6603	Kummell's disease	Disease
C0575090	Balance disorder	SideEffect
64089	SNX16	Gene
359787	DPPA3	Gene
CHEMBL2105615	CHEMBL2105615	Compound
C0027339	Nail disorder	SideEffect
79956	ERMP1	Gene
C0700361	Emotional distress	SideEffect
DOID:0050737	autosomal recessive disease	Disease
CHEMBL1201836	CHEMBL1201836	Compound
4681	NBL1	Gene
DOID:0050042	Indian tick typhus	Disease
9172	MYOM2	Gene
C0019937	Horner's syndrome	SideEffect
CHEMBL1611800	CHEMBL1611800	Compound
5168	ENPP2	Gene
DOID:9965	toxoplasmosis	Disease
79679	VTCN1	Gene
Q8TDR2	STK35_HUMAN	Protein
DOID:0110439	dilated cardiomyopathy 1P	Disease
Q14542	S29A2_HUMAN	Protein
80853	KDM7A	Gene
UBERON:0001044	saliva-secreting gland	Anatomy
8412	BCAR3	Gene
84190	METTL25	Gene
DOID:0060779	congenital malabsorptive diarrhea 4	Disease
23495	TNFRSF13B	Gene
DB01100	Pimozide	Compound
9780	PIEZO1	Gene
DOID:0060479	Shwachman-Diamond syndrome	Disease
CHEMBL1201716	CHEMBL1201716	Compound
DOID:1882	atrial heart septal defect	Disease
P54760	EPHB4_HUMAN	Protein
DOID:0080099	myopathy, lactic acidosis, and sideroblastic anemia	Disease
Q16568	CART_HUMAN	Protein
53336	CPXCR1	Gene
DOID:2734	keratosis follicularis	Disease
6483	ST3GAL2	Gene
51087	YBX2	Gene
P46721	SO1A2_HUMAN	Protein
10086	HHLA1	Gene
22853	LMTK2	Gene
130497	OSR1	Gene
DOID:1964	fallopian tube cancer	Disease
DOID:4325	Ebola hemorrhagic fever	Disease
1996	ELAVL4	Gene
DOID:8941	seborrheic infantile dermatitis	Disease
CHEMBL2107429	CHEMBL2107429	Compound
6120	RPE	Gene
DOID:1056	oculocerebrorenal syndrome	Disease
127247	ASB17	Gene
1645	AKR1C1	Gene
Q16816	PHKG1_HUMAN	Protein
C0020538	Hypertension	SideEffect
1119	CHKA	Gene
1952	CELSR2	Gene
DB01621	Pipotiazine	Compound
349667	RTN4RL2	Gene
Q00688	FKBP3_HUMAN	Protein
DB00556	Perflutren	Compound
9555	H2AFY	Gene
259283	MDS2	Gene
O75907	DGAT1_HUMAN	Protein
285704	RGMB	Gene
9790	BMS1	Gene
DOID:0110946	autosomal recessive osteopetrosis 7	Disease
CHEMBL12198	CHEMBL12198	Compound
388667	C1orf137	Gene
93109	TMEM44	Gene
DOID:0110330	Leber congenital amaurosis 13	Disease
3987	LIMS1	Gene
5106	PCK2	Gene
9620	CELSR1	Gene
55074	OXR1	Gene
725	C4BPB	Gene
10518	CIB2	Gene
GO:1903426	regulation of reactive oxygen species biosynthetic process	BiologicalProcess
DOID:0080241	syndromic X-linked mental retardation 35	Disease
DOID:0110769	hereditary spastic paraplegia 16	Disease
GO:0071385	cellular response to glucocorticoid stimulus	BiologicalProcess
4957	ODF2	Gene
440348	NPIPB15	Gene
DOID:0111013	cone-rod dystrophy 3	Disease
DB04573	Estriol	Compound
DOID:10070	larynx leiomyoma	Disease
4753	NELL2	Gene
DOID:0110799	hereditary spastic paraplegia 47	Disease
DOID:7319	axonal neuropathy	Disease
6368	CCL23	Gene
N0000175452	Analogs/Derivatives	PharmacologicClass
GO:0071322	cellular response to carbohydrate stimulus	BiologicalProcess
D000072664	Provitamins	PharmacologicClass
115749	C12orf56	Gene
1544	CYP1A2	Gene
CHEMBL2108628	CHEMBL2108628	Compound
DOID:1799	islet cell tumor	Disease
C0521654	Neurological impairment	SideEffect
DOID:3742	bladder squamous cell carcinoma	Disease
DOID:0110189	Leber congenital amaurosis 15	Disease
9519	TBPL1	Gene
124935	SLC43A2	Gene
DOID:0050480	epidemic typhus	Disease
GO:0097305	response to alcohol	BiologicalProcess
6873	TAF2	Gene
2717	GLA	Gene
PC7_8058	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	Pathway
DOID:0110055	amelogenesis imperfecta type 3A	Disease
DOID:8931	Evans' syndrome	Disease
284570	LOC284570	Gene
CHEMBL3545284	CHEMBL3545284	Compound
10962	MLLT11	Gene
51455	REV1	Gene
7533	YWHAH	Gene
84894	LINGO1	Gene
1104	RCC1	Gene
6567	SLC16A2	Gene
DOID:0060201	amyotrophic lateral sclerosis type 10	Disease
56267	KYAT3	Gene
51043	ZBTB7B	Gene
DOID:13005	intra-abdominal lymph node mast cell malignancy	Disease
DOID:0070198	Miyoshi muscular dystrophy	Disease
26065	LSM14A	Gene
4005	LMO2	Gene
UBERON:0004134	proximal tubule	Anatomy
377007	KLHL30	Gene
477	ATP1A2	Gene
7570	ZNF22	Gene
8287	USP9Y	Gene
378108	TRIM74	Gene
UBERON:0001684	mandible	Anatomy
2864	FFAR1	Gene
259285	TAS2R39	Gene
314	AOC2	Gene
DOID:10146	thymus lymphoma	Disease
55226	NAT10	Gene
GO:0090114	COPII-coated vesicle budding	BiologicalProcess
CHEMBL1233058	CHEMBL1233058	Compound
3046	HBE1	Gene
N0000175594	Nicotinic Acid	PharmacologicClass
CHEMBL2219536	CHEMBL2219536	Compound
DOID:0110756	type 1 diabetes mellitus 19	Disease
6319	SCD	Gene
4952	OCRL	Gene
57720	GPR107	Gene
9626	GUCA1C	Gene
DB01064	Isoprenaline	Compound
DOID:13117	paronychia	Disease
5473	PPBP	Gene
DOID:9036	parotid gland cancer	Disease
CHEMBL2109430	CHEMBL2109430	Compound
DOID:960	esophagus leiomyoma	Disease
55662	HIF1AN	Gene
11009	IL24	Gene
92335	STRADA	Gene
3915	LAMC1	Gene
DOID:13791	myringitis bullosa hemorrhagica	Disease
DB09526	Hydroquinone	Compound
DOID:75	lymphatic system disease	Disease
124808	CCDC43	Gene
DOID:0110958	Gaucher's disease type II	Disease
23224	SYNE2	Gene
CHEMBL2109300	CHEMBL2109300	Compound
25912	C1orf43	Gene
DOID:4927	Klatskin's tumor	Disease
79310	OR5H2	Gene
GO:0005790	smooth endoplasmic reticulum	CellularComponent
7247	TSN	Gene
284114	TMEM102	Gene
8228	PNPLA4	Gene
UBERON:0004535	cardiovascular system	Anatomy
UBERON:0001568	muscle of larynx	Anatomy
11095	ADAMTS8	Gene
C0022354	Jaundice cholestatic	SideEffect
CHEMBL1201111	CHEMBL1201111	Compound
C0018099	Gout	SideEffect
DOID:1942	intermittent squint	Disease
GO:0009101	glycoprotein biosynthetic process	BiologicalProcess
4705	NDUFA10	Gene
P15735	PHKG2_HUMAN	Protein
C0022656	Renal cortical necrosis	SideEffect
N0000175881	Sulfone	PharmacologicClass
DB06219	Dalbavancin	Compound
CHEMBL571987	CHEMBL571987	Compound
DOID:1785	pituitary cancer	Disease
Q9Y271	CLTR1_HUMAN	Protein
DOID:10612	allergic urticaria	Disease
Q03154	ACY1_HUMAN	Protein
10168	ZNF197	Gene
CHEMBL3137348	CHEMBL3137348	Compound
1360	CPB1	Gene
114898	C1QTNF2	Gene
CHEMBL1256771	CHEMBL1256771	Compound
463	ZFHX3	Gene
4153	MBL2	Gene
4929	NR4A2	Gene
155184	SLC2A7	Gene
375298	CERKL	Gene
DOID:0080225	amyotrophic lateral sclerosis type 23	Disease
DOID:3481	septicemic plague	Disease
3714	JAG2	Gene
9648	GCC2	Gene
83889	WDR87	Gene
DOID:9551	smoldering myeloma	Disease
CHEMBL3039515	CHEMBL3039515	Compound
121227	LRIG3	Gene
D000788	Angina Pectoris, Variant	Symptom
P35913	PDE6B_HUMAN	Protein
C0038358	Gastric ulcer	SideEffect
9022	CLIC3	Gene
DOID:0060462	Desbuquois dysplasia	Disease
DOID:9283	borderline glaucoma	Disease
8891	EIF2B3	Gene
DOID:1979	focal chorioretinitis	Disease
DOID:0110919	hereditary spherocytosis type 4	Disease
DOID:0080136	multiple mitochondrial dysfunctions syndrome 4	Disease
118924	FRA10AC1	Gene
DOID:12685	mixed receptive-expressive language disorder	Disease
DB00315	Zolmitriptan	Compound
CHEMBL3301571	CHEMBL3301571	Compound
C1442903	Exostosis	SideEffect
CHEMBL3707219	CHEMBL3707219	Compound
11247	NXPH4	Gene
CHEMBL3833385	CHEMBL3833385	Compound
CHEMBL2105661	CHEMBL2105661	Compound
DB00455	Loratadine	Compound
DOID:8688	tonsillar pillar cancer	Disease
5295	PIK3R1	Gene
DOID:9861	miliary tuberculosis	Disease
360200	TMPRSS9	Gene
DOID:12657	vestibulocochlear nerve disease	Disease
DOID:12581	olecranon bursitis	Disease
847	CAT	Gene
23181	DIP2A	Gene
51362	CDC40	Gene
D015354	Vision, Low	Symptom
23052	ENDOD1	Gene
5068	REG3A	Gene
65993	MRPS34	Gene
89894	TMEM116	Gene
C0271420	Ceruminosis	SideEffect
DB02659	Cholic Acid	Compound
DOID:656	adrenal adenoma	Disease
PC7_4112	Gene Expression	Pathway
DB01167	Itraconazole	Compound
C0028084	Nightmare	SideEffect
CHEMBL2364628	CHEMBL2364628	Compound
57057	TBX20	Gene
7411	VBP1	Gene
9476	NAPSA	Gene
7867	MAPKAPK3	Gene
DB13025	Tiapride	Compound
83641	FAM107B	Gene
51447	IP6K2	Gene
DOID:9838	cyclotropia	Disease
DOID:3112	papillary adenocarcinoma	Disease
54677	CROT	Gene
DB01590	Everolimus	Compound
196513	DCP1B	Gene
27246	RNF115	Gene
134	ADORA1	Gene
DOID:5849	subendocardial myocardial infarction	Disease
1629	DBT	Gene
CHEMBL3137336	CHEMBL3137336	Compound
27190	IL17B	Gene
50834	TAS2R1	Gene
DB08807	Bopindolol	Compound
124925	SEZ6	Gene
55187	VPS13D	Gene
D055665	Purpura Fulminans	Symptom
9997	SCO2	Gene
11252	PACSIN2	Gene
C0853857	Cellulitis staphylococcal	SideEffect
CHEMBL2107842	CHEMBL2107842	Compound
GO:0035258	steroid hormone receptor binding	MolecularFunction
C0151836	Paranoid reaction	SideEffect
PC7_7447	Signaling by FGFR	Pathway
285382	C3orf70	Gene
CHEMBL1200809	CHEMBL1200809	Compound
192134	B3GNT6	Gene
GO:0048608	reproductive structure development	BiologicalProcess
Q9UQM7	KCC2A_HUMAN	Protein
23368	PPP1R13B	Gene
DB11633	Isavuconazole	Compound
DOID:543	dystonia	Disease
DOID:14286	neurogenic arthropathy	Disease
O94806	KPCD3_HUMAN	Protein
57116	ZNF695	Gene
7554	ZNF8	Gene
DOID:2769	tic disorder	Disease
55064	SPATA6L	Gene
CHEMBL3545034	CHEMBL3545034	Compound
DOID:0060082	breast benign neoplasm	Disease
140801	RPL10L	Gene
54764	ZRANB1	Gene
9601	PDIA4	Gene
4495	MT1G	Gene
113402	SFT2D1	Gene
7805	LAPTM5	Gene
DOID:11812	bladder sarcoma	Disease
123263	MTFMT	Gene
143	PARP4	Gene
Q03181	PPARD_HUMAN	Protein
126375	ZNF792	Gene
DB01609	Deferasirox	Compound
C0018418	Gynaecomastia	SideEffect
DOID:10132	psychosexual disorder	Disease
CHEBI:48358	polar aprotic solvent	PharmacologicClass
DB00398	Sorafenib	Compound
DOID:6263	inflammatory breast carcinoma	Disease
DOID:0110572	autosomal dominant nonsyndromic deafness 49	Disease
O76039	CDKL5_HUMAN	Protein
10512	SEMA3C	Gene
28988	DBNL	Gene
CHEMBL3989869	CHEMBL3989869	Compound
51734	MSRB1	Gene
4826	NNAT	Gene
5698	PSMB9	Gene
DOID:0110433	dilated cardiomyopathy 1E	Disease
200315	APOBEC3A	Gene
DOID:0060891	juvenile onset Parkinson's disease 19A	Disease
Q9NVV9	THAP1_HUMAN	Protein
56134	PCDHAC2	Gene
84530	SRRM4	Gene
DOID:8584	Burkitt lymphoma	Disease
55363	HEMGN	Gene
C0029928	Ovarian disorder	SideEffect
284021	MILR1	Gene
DOID:0110233	cataract 27	Disease
D009467	Neuromuscular Depolarizing Agents	PharmacologicClass
2023	ENO1	Gene
DOID:0060203	amyotrophic lateral sclerosis type 12	Disease
648791	PPP1R3G	Gene
113655	MFSD3	Gene
4751	NEK2	Gene
5542	PRB1	Gene
80279	CDK5RAP3	Gene
DOID:10976	membranous glomerulonephritis	Disease
Q16549	PCSK7_HUMAN	Protein
DOID:4840	sebaceous carcinoma	Disease
C0241005	Creatine phosphokinase serum increased	SideEffect
GO:0009607	response to biotic stimulus	BiologicalProcess
WP395_r89828	IL-4 Signaling Pathway	Pathway
CHEMBL2146063	CHEMBL2146063	Compound
374618	TEX9	Gene
C0020615	Hypoglycaemia	SideEffect
DOID:2648	sebaceous adenoma	Disease
DOID:7912	mixed oligodendroglioma-astrocytoma	Disease
CHEMBL187927	CHEMBL187927	Compound
DOID:7442	monoclonal gammopathy of uncertain significance	Disease
9028	RHBDL1	Gene
4744	NEFH	Gene
DB01018	Guanfacine	Compound
128876	FAM83C	Gene
145853	C15orf61	Gene
5075	PAX1	Gene
C0027531	Neck injury	SideEffect
C0151883	Vesiculobullous rash	SideEffect
DOID:4939	ureter carcinoma	Disease
3047	HBG1	Gene
DOID:5032	pineal gland cancer	Disease
DB00151	L-Cysteine	Compound
UBERON:0001649	glossopharyngeal nerve	Anatomy
DOID:0060079	Her2-receptor positive breast cancer	Disease
1774	DNASE1L1	Gene
C0014511	Cyst epidermal	SideEffect
C0435630	Wrist fracture	SideEffect
9364	RAB28	Gene
DOID:0080169	tricuspid atresia	Disease
9687	GREB1	Gene
10297	APC2	Gene
81127	OR4K15	Gene
PC7_4038	GMCSF-mediated signaling events	Pathway
80816	ASXL3	Gene
3927	LASP1	Gene
DOID:0060350	adenine phosphoribosyltransferase deficiency	Disease
DOID:2145	malignant ovarian cyst	Disease
54097	FAM3B	Gene
92703	TMEM183A	Gene
DOID:10032	hyperlucent lung	Disease
D059005	Topoisomerase II Inhibitors	PharmacologicClass
CHEBI:48318	fragrance	PharmacologicClass
147699	PPM1N	Gene
47	ACLY	Gene
Q9UQ88	CD11A_HUMAN	Protein
64065	PERP	Gene
55341	LSG1	Gene
126767	AADACL3	Gene
CHEMBL3990046	CHEMBL3990046	Compound
2626	GATA4	Gene
51000	SLC35B3	Gene
3665	IRF7	Gene
23429	RYBP	Gene
1326	MAP3K8	Gene
CHEMBL3544991	CHEMBL3544991	Compound
DOID:0080199	colorectal carcinoma	Disease
387032	ZKSCAN4	Gene
255928	SYT14	Gene
CHEMBL1200875	CHEMBL1200875	Compound
131096	KCNH8	Gene
132014	IL17RE	Gene
DOID:1426	ureteral disease	Disease
DOID:0080331	cold-induced sweating syndrome 3	Disease
DOID:0060150	astereognosia	Disease
C0160087	Ankle sprain	SideEffect
E7EQZ4	E7EQZ4_HUMAN	Protein
DOID:3962	follicular thyroid carcinoma	Disease
PC7_3700	ErbB4 signaling events	Pathway
DOID:3947	adrenal gland hyperfunction	Disease
55830	GLT8D1	Gene
8074	FGF23	Gene
9290	GPR55	Gene
84287	ZDHHC16	Gene
400410	ST20	Gene
DOID:4371	Schnitzler syndrome	Disease
DB05389	WF10	Compound
55801	IL26	Gene
DB08818	Hyaluronic acid	Compound
254427	PROSER2	Gene
C0006114	Edema cerebral	SideEffect
55893	ZNF395	Gene
54107	POLE3	Gene
C0004238	Atrial fibrillation	SideEffect
644672	CLDN25	Gene
DOID:9856	congenital syphilis	Disease
C0043094	Weight increased	SideEffect
D019440	Anti-Obesity Agents	PharmacologicClass
79728	PALB2	Gene
DOID:9299	myocardium cancer	Disease
DB11150	Barium sulfate	Compound
342898	SYCN	Gene
C0522178	Self-injurious ideation	SideEffect
56955	MEPE	Gene
CHEMBL2108222	CHEMBL2108222	Compound
